,count,mean,std,min,25%,50%,75%,max
RoA (nicon/at),5459.0,-0.04274198817943371,0.18497013733079087,-0.9082251650887058,-0.07577714066372235,0.007276507276507276,0.048749623866174034,0.3033659942954144
R&D Intensity (xrd/at),5459.0,0.03579743423741976,0.0877601542938722,0.0,0.0,0.0,0.021319316962448848,0.5214134817751442
Firm Size (log assets),5459.0,3.4197659360707955,1.228700755865733,0.017839918128331016,2.6124927969213987,3.386625052478898,4.078418411671842,9.66896702819858
Leverage (dltt/at),5459.0,0.13966189203033083,0.147414320349923,0.0,0.01475889249789894,0.09472687085569939,0.2170136626858465,0.6411588582774916
CAPX Intensity (capx/at),5459.0,0.03452934906838058,0.05569209607880095,0.0,0.0016049140545211196,0.01146615593972078,0.04108214355347982,0.3165746375224052
Cash Ratio (che/at),5459.0,0.19980549012670776,0.1993499231812171,0.00016267097013430399,0.046509482051104487,0.13641632019395383,0.28940865191084236,0.8558751464031185
